id,age,state,gender,question_1,question_2
1,36,wien,female,2,5
2,22,tirol,male,3,2
3,19,oberösterreich,male,4,4
4,41,wien,female,2,3
5,23,burgenland,male,4,2
6,47,steiermark,male,4,1
7,64,steiermark,female,5,3
8,38,niederösterreich,female,1,1
9,43,wien,female,2,2
10,44,oberösterreich,male,1,4
11,32,vorarlberg,male,5,5
12,27,wien,female,1,3
13,60,tirol,female,5,5
14,63,niederösterreich,male,5,2
15,41,vorarlberg,female,2,1
16,40,niederösterreich,male,5,4
17,71,wien,female,2,3
18,43,oberösterreich,male,1,3
19,30,tirol,male,5,4
20,62,steiermark,female,5,3
21,21,salzburg,female,3,4
22,23,wien,male,1,1
23,43,oberösterreich,male,3,3
